972,35.79,58.87,60.32,0.036,2.70E-09,8.96E+08,167,25
982,35.94,58.87,60.14,0.036,2.70E-09,8.96E+08,167,25
992,35.94,58.87,60.51,0.036,2.70E-09,8.96E+08,167,25
1002,36.09,58.69,60.51,0.036,2.70E-09,8.96E+08,167,25
1012,36.39,58.69,59.96,0.036,2.70E-09,8.96E+08,167,25
1022,36.24,59.41,59.78,0.036,2.70E-09,8.96E+08,167,25
1032,36.54,59.23,59.96,0.036,2.70E-09,8.96E+08,167,25
1042,36.54,59.23,60.14,0.036,2.70E-09,8.96E+08,167,25
1052,36.54,58.87,60.14,0.036,2.70E-09,8.96E+08,167,25
1062,36.98,58.69,60.14,0.036,2.70E-09,8.96E+08,167,25
1072,36.98,58.69,60.14,0.036,2.70E-09,8.96E+08,167,25
1082,37.28,58.69,60.32,0.036,2.70E-09,8.96E+08,167,25
1092,37.28,59.23,60.14,0.036,2.70E-09,8.96E+08,167,25
1102,37.28,58.87,60.32,0.036,2.70E-09,8.96E+08,167,25
1112,37.43,58.51,60.32,0.036,2.70E-09,8.96E+08,167,25
1122,37.58,58.69,59.96,0.036,2.70E-09,8.96E+08,167,25
1132,37.73,58.51,60.32,0.036,2.70E-09,8.96E+08,167,25
1142,37.88,59.05,60.14,0.036,2.70E-09,8.96E+08,167,25
1152,38.03,58.87,59.96,0.036,2.70E-09,8.96E+08,167,25
1162,38.03,58.69,60.14,0.036,2.70E-09,8.96E+08,167,25
1172,37.88,59.05,60.14,0.036,2.70E-09,8.96E+08,167,25
1182,38.18,59.05,60.14,0.036,2.70E-09,8.96E+08,167,25
1192,38.34,59.05,60.14,0.036,2.70E-09,8.96E+08,167,25
1202,38.79,58.87,60.14,0.036,2.70E-09,8.96E+08,167,25
1212,38.34,58.69,59.78,0.036,2.70E-09,8.96E+08,167,25
1222,38.49,58.87,59.78,0.036,2.70E-09,8.96E+08,167,25
1232,38.79,59.23,60.32,0.036,2.70E-09,8.96E+08,167,25
1242,38.79,58.87,60.32,0.036,2.70E-09,8.96E+08,167,25
1252,38.79,59.05,60.51,0.036,2.70E-09,8.96E+08,167,25
1262,39.09,59.05,59.96,0.036,2.70E-09,8.96E+08,167,25
1272,39.24,59.05,60.32,0.036,2.70E-09,8.96E+08,167,25
1282,39.39,59.23,60.32,0.036,2.70E-09,8.96E+08,167,25
1292,39.39,59.05,60.14,0.036,2.70E-09,8.96E+08,167,25
1302,39.55,59.05,60.69,0.036,2.70E-09,8.96E+08,167,25
1312,39.85,58.69,60.32,0.036,2.70E-09,8.96E+08,167,25
1322,39.85,58.87,60.14,0.036,2.70E-09,8.96E+08,167,25
1332,40,58.69,59.78,0.036,2.70E-09,8.96E+08,167,25
1342,39.85,58.87,59.59,0.036,2.70E-09,8.96E+08,167,25
